Month,Supply DOC (Tails),Demand DOC (Tails)
Dec 2019,"263,430,325","257,828,626"
Jan 2020,"238,373,533","257,828,626"
Feb 2020,"228,326,148","165,010,611"
Mar 2020,"259,647,972","168,750,794"
Apr 2020,"202,510,340","176,880,521"
May 2020,"300,502,368","165,010,611"
Jun 2020,"291,287,233","166,021,839"
Jul 2020,"308,579,059","165,010,611"
Aug 2020,"301,718,772","165,010,611"
Sep 2020,"275,960,145","165,010,611"
Oct 2020,"282,928,094","257,828,626"
Nov 2020,"281,620,774","260,074,187"
Dec 2020,"244,861,351","244,176,598"
Jan 2021,"235,058,267","220,546,516"
Feb 2021,"241,768,551","244,176,598"
Mar 2021,"251,221,822","241,729,698"
Apr 2021,"271,046,686","261,411,003"
May 2021,"298,277,985","236,299,904"
Jun 2021,"231,304,347","159,669,197"
Jul 2021,"227,961,570","224,642,470"
Aug 2021,"290,427,996","200,854,918"
Sep 2021,"263,906,653","244,176,598"
Oct 2021,"281,549,693","236,299,904"
Nov 2021,"277,480,044","246,262,538"
Dec 2021,"202,413,009","202,394,287"
Jan 2022,"253,927,622","201,638,144"
Feb 2022,"329,301,093","239,193,248"
Mar 2022,"358,307,764","318,048,165"
Apr 2022,"347,544,676","252,335,734"
May 2022,"316,798,391","216,040,868"
Jun 2022,"282,939,325","239,352,375"
Jul 2022,"297,414,758","223,242,230"
Aug 2022,"301,637,524","216,040,868"
Sep 2022,"281,213,499","223,242,230"
Oct 2022,"293,858,192","216,040,868"
Nov 2022,"283,150,026","246,135,593"
Jan 2023,"234,403,983","209,952,347"
Feb 2023,"225,044,808","189,634,424"
Mar 2023,"210,667,852","214,558,321"
Apr 2023,"247,791,607","218,283,073"
May 2023,"242,602,418","209,952,347"
Jun 2023,"248,980,797","204,466,572"
Jul 2023,"243,333,570","209,952,347"
Aug 2023,"244,293,030","209,952,347"
Sep 2023,"254,445,235","203,179,943"
Oct 2023,"230,532,717","209,952,347"
Nov 2023,"245,974,395","203,179,943"
Dec 2023,"250,132,290","211,780,939"