,Date,Holiday
,01/12/19,True
,02/12/19,False
,03/12/19,False
,04/12/19,False
,05/12/19,False
,06/12/19,False
,07/12/19,False
,08/12/19,True
,09/12/19,False
,10/12/19,False
,11/12/19,False
,12/12/19,False
,13/12/19,False
,14/12/19,False
,15/12/19,True
,16/12/19,False
,17/12/19,False
,18/12/19,False
,19/12/19,False
,20/12/19,False
,21/12/19,False
,22/12/19,True
,23/12/19,False
,24/12/19,True
,25/12/19,True
,26/12/19,True
,27/12/19,False
,28/12/19,False
,29/12/19,True
,30/12/19,False
,31/12/19,False
,01/01/20,True
,02/01/20,False
,03/01/20,False
,04/01/20,False
,05/01/20,True
,06/01/20,False
,07/01/20,False
,08/01/20,False
,09/01/20,False
,10/01/20,False
,11/01/20,False
,12/01/20,True
,13/01/20,False
,14/01/20,False
,15/01/20,False
,16/01/20,False
,17/01/20,False
,18/01/20,False
,19/01/20,True
,20/01/20,False
,21/01/20,False
,22/01/20,False
,23/01/20,False
,24/01/20,False
,25/01/20,True
,26/01/20,True
,27/01/20,False
,28/01/20,False
,29/01/20,False
,30/01/20,False
,31/01/20,False
,01/02/20,False
,02/02/20,True
,03/02/20,False
,04/02/20,False
,05/02/20,False
,06/02/20,False
,07/02/20,False
,08/02/20,False
,09/02/20,True
,10/02/20,False
,11/02/20,False
,12/02/20,False
,13/02/20,False
,14/02/20,False
,15/02/20,False
,16/02/20,True
,17/02/20,False
,18/02/20,False
,19/02/20,False
,20/02/20,False
,21/02/20,False
,22/02/20,False
,23/02/20,True
,24/02/20,False
,25/02/20,False
,26/02/20,False
,27/02/20,False
,28/02/20,False
,29/02/20,False
,01/03/20,True
,02/03/20,False
,03/03/20,False
,04/03/20,False
,05/03/20,False
,06/03/20,False
,07/03/20,False
,08/03/20,True
,09/03/20,False
,10/03/20,False
,11/03/20,False
,12/03/20,False
,13/03/20,False
,14/03/20,False
,15/03/20,True
,16/03/20,False
,17/03/20,False
,18/03/20,False
,19/03/20,False
,20/03/20,False
,21/03/20,False
,22/03/20,True
,23/03/20,False
,24/03/20,False
,25/03/20,True
,26/03/20,False
,27/03/20,False
,28/03/20,False
,29/03/20,True
,30/03/20,False
,31/03/20,False
,01/04/20,False
,02/04/20,False
,03/04/20,False
,04/04/20,False
,05/04/20,True
,06/04/20,False
,07/04/20,False
,08/04/20,False
,09/04/20,False
,10/04/20,True
,11/04/20,False
,12/04/20,True
,13/04/20,False
,14/04/20,False
,15/04/20,False
,16/04/20,False
,17/04/20,False
,18/04/20,False
,19/04/20,True
,20/04/20,False
,21/04/20,False
,22/04/20,False
,23/04/20,False
,24/04/20,True
,25/04/20,True
,26/04/20,True
,27/04/20,True
,28/04/20,True
,29/04/20,True
,30/04/20,True
,01/05/20,True
,02/05/20,True
,03/05/20,True
,04/05/20,True
,05/05/20,True
,06/05/20,True
,07/05/20,True
,08/05/20,True
,09/05/20,True
,10/05/20,True
,11/05/20,True
,12/05/20,True
,13/05/20,True
,14/05/20,True
,15/05/20,True
,16/05/20,True
,17/05/20,True
,18/05/20,True
,19/05/20,True
,20/05/20,True
,21/05/20,True
,22/05/20,True
,23/05/20,True
,24/05/20,True
,25/05/20,True
,26/05/20,True
,27/05/20,True
,28/05/20,False
,29/05/20,False
,30/05/20,False
,31/05/20,True
,01/06/20,True
,02/06/20,False
,03/06/20,False
,04/06/20,False
,05/06/20,False
,06/06/20,False
,07/06/20,True
,08/06/20,False
,09/06/20,False
,10/06/20,False
,11/06/20,False
,12/06/20,False
,13/06/20,False
,14/06/20,True
,15/06/20,False
,16/06/20,False
,17/06/20,False
,18/06/20,False
,19/06/20,False
,20/06/20,False
,21/06/20,True
,22/06/20,False
,23/06/20,False
,24/06/20,False
,25/06/20,False
,26/06/20,False
,27/06/20,False
,28/06/20,True
,29/06/20,False
,30/06/20,False
,01/07/20,False
,02/07/20,False
,03/07/20,False
,04/07/20,False
,05/07/20,True
,06/07/20,False
,07/07/20,False
,08/07/20,False
,09/07/20,False
,10/07/20,False
,11/07/20,False
,12/07/20,True
,13/07/20,False
,14/07/20,False
,15/07/20,False
,16/07/20,False
,17/07/20,False
,18/07/20,False
,19/07/20,True
,20/07/20,False
,21/07/20,False
,22/07/20,False
,23/07/20,False
,24/07/20,False
,25/07/20,False
,26/07/20,True
,27/07/20,False
,28/07/20,False
,29/07/20,False
,30/07/20,False
,31/07/20,True
,01/08/20,False
,02/08/20,True
,03/08/20,False
,04/08/20,False
,05/08/20,False
,06/08/20,False
,07/08/20,False
,08/08/20,False
,09/08/20,True
,10/08/20,False
,11/08/20,False
,12/08/20,False
,13/08/20,False
,14/08/20,False
,15/08/20,False
,16/08/20,True
,17/08/20,True
,18/08/20,False
,19/08/20,False
,20/08/20,True
,21/08/20,False
,22/08/20,False
,23/08/20,True
,24/08/20,False
,25/08/20,False
,26/08/20,False
,27/08/20,False
,28/08/20,False
,29/08/20,False
,30/08/20,True
,31/08/20,False
,01/09/20,False
,02/09/20,False
,03/09/20,False
,04/09/20,False
,05/09/20,False
,06/09/20,True
,07/09/20,False
,08/09/20,False
,09/09/20,False
,10/09/20,False
,11/09/20,False
,12/09/20,False
,13/09/20,True
,14/09/20,False
,15/09/20,False
,16/09/20,False
,17/09/20,False
,18/09/20,False
,19/09/20,False
,20/09/20,True
,21/09/20,False
,22/09/20,False
,23/09/20,False
,24/09/20,False
,25/09/20,False
,26/09/20,False
,27/09/20,True
,28/09/20,False
,29/09/20,False
,30/09/20,False
,01/10/20,False
,02/10/20,False
,03/10/20,False
,04/10/20,True
,05/10/20,False
,06/10/20,False
,07/10/20,False
,08/10/20,False
,09/10/20,False
,10/10/20,False
,11/10/20,True
,12/10/20,False
,13/10/20,False
,14/10/20,False
,15/10/20,False
,16/10/20,False
,17/10/20,False
,18/10/20,True
,19/10/20,False
,20/10/20,False
,21/10/20,False
,22/10/20,False
,23/10/20,False
,24/10/20,False
,25/10/20,True
,26/10/20,False
,27/10/20,False
,28/10/20,False
,29/10/20,True
,30/10/20,False
,31/10/20,False
,01/11/20,True
,02/11/20,False
,03/11/20,False
,04/11/20,False
,05/11/20,False
,06/11/20,False
,07/11/20,False
,08/11/20,True
,09/11/20,False
,10/11/20,False
,11/11/20,False
,12/11/20,False
,13/11/20,False
,14/11/20,False
,15/11/20,True
,16/11/20,False
,17/11/20,False
,18/11/20,False
,19/11/20,False
,20/11/20,False
,21/11/20,False
,22/11/20,True
,23/11/20,False
,24/11/20,False
,25/11/20,False
,26/11/20,False
,27/11/20,False
,28/11/20,False
,29/11/20,True
,30/11/20,False
,01/12/20,False
,02/12/20,False
,03/12/20,False
,04/12/20,False
,05/12/20,False
,06/12/20,True
,07/12/20,False
,08/12/20,False
,09/12/20,False
,10/12/20,False
,11/12/20,False
,12/12/20,False
,13/12/20,True
,14/12/20,False
,15/12/20,False
,16/12/20,False
,17/12/20,False
,18/12/20,False
,19/12/20,False
,20/12/20,True
,21/12/20,False
,22/12/20,False
,23/12/20,False
,24/12/20,True
,25/12/20,True
,26/12/20,True
,27/12/20,True
,28/12/20,False
,29/12/20,False
,30/12/20,False
,31/12/20,False
,01/01/21,True
,02/01/21,False
,03/01/21,True
,04/01/21,False
,05/01/21,False
,06/01/21,False
,07/01/21,False
,08/01/21,False
,09/01/21,False
,10/01/21,True
,11/01/21,False
,12/01/21,False
,13/01/21,False
,14/01/21,False
,15/01/21,False
,16/01/21,False
,17/01/21,True
,18/01/21,False
,19/01/21,False
,20/01/21,False
,21/01/21,False
,22/01/21,False
,23/01/21,False
,24/01/21,True
,25/01/21,False
,26/01/21,False
,27/01/21,False
,28/01/21,False
,29/01/21,False
,30/01/21,False
,31/01/21,True
,01/02/21,False
,02/02/21,False
,03/02/21,False
,04/02/21,False
,05/02/21,False
,06/02/21,False
,07/02/21,True
,08/02/21,False
,09/02/21,False
,10/02/21,False
,11/02/21,False
,12/02/21,True
,13/02/21,False
,14/02/21,True
,15/02/21,False
,16/02/21,False
,17/02/21,False
,18/02/21,False
,19/02/21,False
,20/02/21,False
,21/02/21,True
,22/02/21,False
,23/02/21,False
,24/02/21,False
,25/02/21,False
,26/02/21,False
,27/02/21,False
,28/02/21,True
,01/03/21,False
,02/03/21,False
,03/03/21,False
,04/03/21,False
,05/03/21,False
,06/03/21,False
,07/03/21,True
,08/03/21,False
,09/03/21,False
,10/03/21,False
,11/03/21,True
,12/03/21,True
,13/03/21,False
,14/03/21,True
,15/03/21,False
,16/03/21,False
,17/03/21,False
,18/03/21,False
,19/03/21,False
,20/03/21,False
,21/03/21,True
,22/03/21,False
,23/03/21,False
,24/03/21,False
,25/03/21,False
,26/03/21,False
,27/03/21,False
,28/03/21,True
,29/03/21,False
,30/03/21,False
,31/03/21,False
,01/04/21,False
,02/04/21,True
,03/04/21,False
,04/04/21,True
,05/04/21,False
,06/04/21,False
,07/04/21,False
,08/04/21,False
,09/04/21,False
,10/04/21,False
,11/04/21,True
,12/04/21,False
,13/04/21,True
,14/04/21,True
,15/04/21,True
,16/04/21,True
,17/04/21,True
,18/04/21,True
,19/04/21,True
,20/04/21,True
,21/04/21,True
,22/04/21,True
,23/04/21,True
,24/04/21,True
,25/04/21,True
,26/04/21,True
,27/04/21,True
,28/04/21,True
,29/04/21,True
,30/04/21,True
,01/05/21,True
,02/05/21,True
,03/05/21,True
,04/05/21,True
,05/05/21,True
,06/05/21,True
,07/05/21,True
,08/05/21,True
,09/05/21,True
,10/05/21,True
,11/05/21,True
,12/05/21,True
,13/05/21,True
,14/05/21,True
,15/05/21,False
,16/05/21,True
,17/05/21,True
,18/05/21,True
,19/05/21,True
,20/05/21,False
,21/05/21,False
,22/05/21,False
,23/05/21,True
,24/05/21,False
,25/05/21,False
,26/05/21,True
,27/05/21,False
,28/05/21,False
,29/05/21,False
,30/05/21,True
,31/05/21,False
,01/06/21,True
,02/06/21,False
,03/06/21,False
,04/06/21,False
,05/06/21,False
,06/06/21,True
,07/06/21,False
,08/06/21,False
,09/06/21,False
,10/06/21,False
,11/06/21,False
,12/06/21,False
,13/06/21,True
,14/06/21,False
,15/06/21,False
,16/06/21,False
,17/06/21,False
,18/06/21,False
,19/06/21,False
,20/06/21,True
,21/06/21,False
,22/06/21,False
,23/06/21,False
,24/06/21,False
,25/06/21,False
,26/06/21,False
,27/06/21,True
,28/06/21,False
,29/06/21,False
,30/06/21,False
,01/07/21,False
,02/07/21,False
,03/07/21,False
,04/07/21,True
,05/07/21,False
,06/07/21,False
,07/07/21,False
,08/07/21,False
,09/07/21,False
,10/07/21,False
,11/07/21,True
,12/07/21,False
,13/07/21,False
,14/07/21,False
,15/07/21,False
,16/07/21,False
,17/07/21,False
,18/07/21,True
,19/07/21,False
,20/07/21,True
,21/07/21,False
,22/07/21,False
,23/07/21,False
,24/07/21,False
,25/07/21,True
,26/07/21,False
,27/07/21,False
,28/07/21,False
,29/07/21,False
,30/07/21,False
,31/07/21,False
,01/08/21,True
,02/08/21,False
,03/08/21,False
,04/08/21,False
,05/08/21,False
,06/08/21,False
,07/08/21,False
,08/08/21,True
,09/08/21,False
,10/08/21,True
,11/08/21,False
,12/08/21,False
,13/08/21,False
,14/08/21,False
,15/08/21,True
,16/08/21,False
,17/08/21,True
,18/08/21,False
,19/08/21,False
,20/08/21,False
,21/08/21,False
,22/08/21,True
,23/08/21,False
,24/08/21,False
,25/08/21,False
,26/08/21,False
,27/08/21,False
,28/08/21,False
,29/08/21,True
,30/08/21,False
,31/08/21,False
,01/09/21,False
,02/09/21,False
,03/09/21,False
,04/09/21,False
,05/09/21,True
,06/09/21,False
,07/09/21,False
,08/09/21,False
,09/09/21,False
,10/09/21,False
,11/09/21,False
,12/09/21,True
,13/09/21,False
,14/09/21,False
,15/09/21,False
,16/09/21,False
,17/09/21,False
,18/09/21,False
,19/09/21,True
,20/09/21,False
,21/09/21,False
,22/09/21,False
,23/09/21,False
,24/09/21,False
,25/09/21,False
,26/09/21,True
,27/09/21,False
,28/09/21,False
,29/09/21,False
,30/09/21,False
,01/10/21,False
,02/10/21,False
,03/10/21,True
,04/10/21,False
,05/10/21,False
,06/10/21,False
,07/10/21,False
,08/10/21,False
,09/10/21,False
,10/10/21,True
,11/10/21,False
,12/10/21,False
,13/10/21,False
,14/10/21,False
,15/10/21,False
,16/10/21,False
,17/10/21,True
,18/10/21,False
,19/10/21,True
,20/10/21,False
,21/10/21,False
,22/10/21,False
,23/10/21,False
,24/10/21,True
,25/10/21,False
,26/10/21,False
,27/10/21,False
,28/10/21,False
,29/10/21,False
,30/10/21,False
,31/10/21,True
,01/11/21,False
,02/11/21,False
,03/11/21,False
,04/11/21,False
,05/11/21,False
,06/11/21,False
,07/11/21,True
,08/11/21,False
,09/11/21,False
,10/11/21,False
,11/11/21,False
,12/11/21,False
,13/11/21,False
,14/11/21,True
,15/11/21,False
,16/11/21,False
,17/11/21,False
,18/11/21,False
,19/11/21,False
,20/11/21,False
,21/11/21,True
,22/11/21,False
,23/11/21,False
,24/11/21,False
,25/11/21,False
,26/11/21,False
,27/11/21,False
,28/11/21,True
,29/11/21,False
,30/11/21,False
,01/12/21,False
,02/12/21,False
,03/12/21,False
,04/12/21,False
,05/12/21,True
,06/12/21,False
,07/12/21,False
,08/12/21,False
,09/12/21,False
,10/12/21,False
,11/12/21,False
,12/12/21,True
,13/12/21,False
,14/12/21,False
,15/12/21,False
,16/12/21,False
,17/12/21,False
,18/12/21,False
,19/12/21,True
,20/12/21,False
,21/12/21,False
,22/12/21,False
,23/12/21,False
,24/12/21,True
,25/12/21,True
,26/12/21,True
,27/12/21,True
,28/12/21,False
,29/12/21,False
,30/12/21,False
,31/12/21,False
,01/01/22,True
,02/01/22,True
,03/01/22,False
,04/01/22,False
,05/01/22,False
,06/01/22,False
,07/01/22,False
,08/01/22,False
,09/01/22,True
,10/01/22,False
,11/01/22,False
,12/01/22,False
,13/01/22,False
,14/01/22,False
,15/01/22,False
,16/01/22,True
,17/01/22,False
,18/01/22,False
,19/01/22,False
,20/01/22,False
,21/01/22,False
,22/01/22,False
,23/01/22,True
,24/01/22,False
,25/01/22,False
,26/01/22,False
,27/01/22,False
,28/01/22,False
,29/01/22,False
,30/01/22,True
,31/01/22,False
,01/02/22,True
,02/02/22,False
,03/02/22,False
,04/02/22,False
,05/02/22,False
,06/02/22,True
,07/02/22,False
,08/02/22,False
,09/02/22,False
,10/02/22,False
,11/02/22,False
,12/02/22,False
,13/02/22,True
,14/02/22,False
,15/02/22,False
,16/02/22,False
,17/02/22,False
,18/02/22,False
,19/02/22,False
,20/02/22,True
,21/02/22,False
,22/02/22,False
,23/02/22,False
,24/02/22,False
,25/02/22,False
,26/02/22,False
,27/02/22,True
,28/02/22,True
,01/03/22,False
,02/03/22,False
,03/03/22,True
,04/03/22,False
,05/03/22,False
,06/03/22,True
,07/03/22,False
,08/03/22,False
,09/03/22,False
,10/03/22,False
,11/03/22,False
,12/03/22,False
,13/03/22,True
,14/03/22,False
,15/03/22,False
,16/03/22,False
,17/03/22,False
,18/03/22,False
,19/03/22,False
,20/03/22,True
,21/03/22,False
,22/03/22,False
,23/03/22,False
,24/03/22,False
,25/03/22,False
,26/03/22,False
,27/03/22,True
,28/03/22,False
,29/03/22,False
,30/03/22,False
,31/03/22,False
,01/04/22,False
,02/04/22,True
,03/04/22,True
,04/04/22,True
,05/04/22,True
,06/04/22,True
,07/04/22,True
,08/04/22,True
,09/04/22,True
,10/04/22,True
,11/04/22,True
,12/04/22,True
,13/04/22,True
,14/04/22,True
,15/04/22,True
,16/04/22,True
,17/04/22,True
,18/04/22,True
,19/04/22,True
,20/04/22,True
,21/04/22,True
,22/04/22,True
,23/04/22,True
,24/04/22,True
,25/04/22,True
,26/04/22,True
,27/04/22,True
,28/04/22,True
,29/04/22,True
,30/04/22,True
,01/05/22,True
,02/05/22,True
,03/05/22,True
,04/05/22,False
,05/05/22,False
,06/05/22,False
,07/05/22,False
,08/05/22,True
,09/05/22,False
,10/05/22,False
,11/05/22,False
,12/05/22,False
,13/05/22,False
,14/05/22,False
,15/05/22,True
,16/05/22,True
,17/05/22,False
,18/05/22,False
,19/05/22,False
,20/05/22,False
,21/05/22,False
,22/05/22,True
,23/05/22,False
,24/05/22,False
,25/05/22,False
,26/05/22,True
,27/05/22,False
,28/05/22,False
,29/05/22,True
,30/05/22,False
,31/05/22,False
,01/06/22,True
,02/06/22,False
,03/06/22,False
,04/06/22,False
,05/06/22,True
,06/06/22,False
,07/06/22,False
,08/06/22,False
,09/06/22,False
,10/06/22,False
,11/06/22,False
,12/06/22,True
,13/06/22,False
,14/06/22,False
,15/06/22,False
,16/06/22,False
,17/06/22,False
,18/06/22,False
,19/06/22,True
,20/06/22,False
,21/06/22,False
,22/06/22,False
,23/06/22,False
,24/06/22,False
,25/06/22,False
,26/06/22,True
,27/06/22,False
,28/06/22,False
,29/06/22,False
,30/06/22,False
,01/07/22,False
,02/07/22,False
,03/07/22,True
,04/07/22,False
,05/07/22,False
,06/07/22,False
,07/07/22,False
,08/07/22,False
,09/07/22,True
,10/07/22,True
,11/07/22,False
,12/07/22,False
,13/07/22,False
,14/07/22,False
,15/07/22,False
,16/07/22,False
,17/07/22,True
,18/07/22,False
,19/07/22,False
,20/07/22,False
,21/07/22,False
,22/07/22,False
,23/07/22,False
,24/07/22,True
,25/07/22,False
,26/07/22,False
,27/07/22,False
,28/07/22,False
,29/07/22,False
,30/07/22,True
,31/07/22,True
,01/08/22,False
,02/08/22,False
,03/08/22,False
,04/08/22,False
,05/08/22,False
,06/08/22,False
,07/08/22,True
,08/08/22,False
,09/08/22,False
,10/08/22,False
,11/08/22,False
,12/08/22,False
,13/08/22,False
,14/08/22,True
,15/08/22,False
,16/08/22,False
,17/08/22,True
,18/08/22,False
,19/08/22,False
,20/08/22,False
,21/08/22,True
,22/08/22,False
,23/08/22,False
,24/08/22,False
,25/08/22,False
,26/08/22,False
,27/08/22,False
,28/08/22,True
,29/08/22,False
,30/08/22,False
,31/08/22,False
,01/09/22,False
,02/09/22,False
,03/09/22,False
,04/09/22,True
,05/09/22,False
,06/09/22,False
,07/09/22,False
,08/09/22,False
,09/09/22,False
,10/09/22,False
,11/09/22,True
,12/09/22,False
,13/09/22,False
,14/09/22,False
,15/09/22,False
,16/09/22,False
,17/09/22,False
,18/09/22,True
,19/09/22,False
,20/09/22,False
,21/09/22,False
,22/09/22,False
,23/09/22,False
,24/09/22,False
,25/09/22,True
,26/09/22,False
,27/09/22,False
,28/09/22,False
,29/09/22,False
,30/09/22,False
,01/10/22,False
,02/10/22,True
,03/10/22,False
,04/10/22,False
,05/10/22,False
,06/10/22,False
,07/10/22,False
,08/10/22,True
,09/10/22,True
,10/10/22,False
,11/10/22,False
,12/10/22,False
,13/10/22,False
,14/10/22,False
,15/10/22,False
,16/10/22,True
,17/10/22,False
,18/10/22,False
,19/10/22,False
,20/10/22,False
,21/10/22,False
,22/10/22,False
,23/10/22,True
,24/10/22,False
,25/10/22,False
,26/10/22,False
,27/10/22,False
,28/10/22,False
,29/10/22,False
,30/10/22,True
,31/10/22,False
,01/11/22,False
,02/11/22,False
,03/11/22,False
,04/11/22,False
,05/11/22,False
,06/11/22,True
,07/11/22,False
,08/11/22,False
,09/11/22,False
,10/11/22,False
,11/11/22,False
,12/11/22,False
,13/11/22,True
,14/11/22,False
,15/11/22,False
,16/11/22,False
,17/11/22,False
,18/11/22,False
,19/11/22,False
,20/11/22,True
,21/11/22,False
,22/11/22,False
,23/11/22,False
,24/11/22,False
,25/11/22,False
,26/11/22,False
,27/11/22,True
,28/11/22,False
,29/11/22,False
,30/11/22,False
,01/12/22,False
,02/12/22,False
,03/12/22,False
,04/12/22,True
,05/12/22,False
,06/12/22,False
,07/12/22,False
,08/12/22,False
,09/12/22,False
,10/12/22,False
,11/12/22,True
,12/12/22,False
,13/12/22,False
,14/12/22,False
,15/12/22,False
,16/12/22,False
,17/12/22,False
,18/12/22,True
,19/12/22,False
,20/12/22,False
,21/12/22,False
,22/12/22,False
,23/12/22,False
,24/12/22,True
,25/12/22,True
,26/12/22,True
,27/12/22,False
,28/12/22,False
,29/12/22,False
,30/12/22,False
,31/12/22,False
,01/01/23,True
,02/01/23,False
,03/01/23,False
,04/01/23,False
,05/01/23,False
,06/01/23,False
,07/01/23,False
,08/01/23,True
,09/01/23,False
,10/01/23,False
,11/01/23,False
,12/01/23,False
,13/01/23,False
,14/01/23,False
,15/01/23,True
,16/01/23,False
,17/01/23,False
,18/01/23,False
,19/01/23,False
,20/01/23,False
,21/01/23,False
,22/01/23,True
,23/01/23,True
,24/01/23,False
,25/01/23,False
,26/01/23,False
,27/01/23,False
,28/01/23,False
,29/01/23,True
,30/01/23,False
,31/01/23,False
,01/02/23,False
,02/02/23,False
,03/02/23,False
,04/02/23,False
,05/02/23,True
,06/02/23,False
,07/02/23,False
,08/02/23,False
,09/02/23,False
,10/02/23,False
,11/02/23,False
,12/02/23,True
,13/02/23,False
,14/02/23,False
,15/02/23,False
,16/02/23,False
,17/02/23,False
,18/02/23,True
,19/02/23,True
,20/02/23,False
,21/02/23,False
,22/02/23,False
,23/02/23,False
,24/02/23,False
,25/02/23,False
,26/02/23,True
,27/02/23,False
,28/02/23,False
,01/03/23,False
,02/03/23,False
,03/03/23,False
,04/03/23,False
,05/03/23,True
,06/03/23,False
,07/03/23,False
,08/03/23,False
,09/03/23,False
,10/03/23,False
,11/03/23,False
,12/03/23,True
,13/03/23,False
,14/03/23,False
,15/03/23,False
,16/03/23,False
,17/03/23,False
,18/03/23,False
,19/03/23,True
,20/03/23,False
,21/03/23,False
,22/03/23,True
,23/03/23,True
,24/03/23,True
,25/03/23,True
,26/03/23,True
,27/03/23,True
,28/03/23,True
,29/03/23,True
,30/03/23,True
,31/03/23,True
,01/04/23,True
,02/04/23,True
,03/04/23,True
,04/04/23,True
,05/04/23,True
,06/04/23,True
,07/04/23,True
,08/04/23,True
,09/04/23,True
,10/04/23,True
,11/04/23,True
,12/04/23,True
,13/04/23,True
,14/04/23,True
,15/04/23,True
,16/04/23,True
,17/04/23,True
,18/04/23,True
,19/04/23,True
,20/04/23,True
,21/04/23,True
,22/04/23,True
,23/04/23,True
,24/04/23,False
,25/04/23,True
,26/04/23,True
,27/04/23,False
,28/04/23,False
,29/04/23,False
,30/04/23,True
,01/05/23,True
,02/05/23,False
,03/05/23,False
,04/05/23,False
,05/05/23,False
,06/05/23,False
,07/05/23,True
,08/05/23,False
,09/05/23,False
,10/05/23,False
,11/05/23,False
,12/05/23,False
,13/05/23,False
,14/05/23,True
,15/05/23,False
,16/05/23,False
,17/05/23,False
,18/05/23,True
,19/05/23,False
,20/05/23,False
,21/05/23,True
,22/05/23,False
,23/05/23,False
,24/05/23,False
,25/05/23,False
,26/05/23,False
,27/05/23,False
,28/05/23,True
,29/05/23,False
,30/05/23,False
,31/05/23,False
,01/06/23,True
,02/06/23,True
,03/06/23,False
,04/06/23,True
,05/06/23,False
,06/06/23,False
,07/06/23,False
,08/06/23,False
,09/06/23,False
,10/06/23,False
,11/06/23,True
,12/06/23,False
,13/06/23,False
,14/06/23,False
,15/06/23,False
,16/06/23,False
,17/06/23,False
,18/06/23,True
,19/06/23,False
,20/06/23,False
,21/06/23,False
,22/06/23,False
,23/06/23,False
,24/06/23,False
,25/06/23,True
,26/06/23,False
,27/06/23,False
,28/06/23,False
,29/06/23,True
,30/06/23,False
,01/07/23,False
,02/07/23,True
,03/07/23,False
,04/07/23,False
,05/07/23,False
,06/07/23,False
,07/07/23,False
,08/07/23,False
,09/07/23,True
,10/07/23,False
,11/07/23,False
,12/07/23,False
,13/07/23,False
,14/07/23,False
,15/07/23,False
,16/07/23,True
,17/07/23,False
,18/07/23,False
,19/07/23,True
,20/07/23,False
,21/07/23,False
,22/07/23,False
,23/07/23,True
,24/07/23,False
,25/07/23,False
,26/07/23,False
,27/07/23,False
,28/07/23,False
,29/07/23,False
,30/07/23,True
,31/07/23,False
,01/08/23,False
,02/08/23,False
,03/08/23,False
,04/08/23,False
,05/08/23,False
,06/08/23,True
,07/08/23,False
,08/08/23,False
,09/08/23,False
,10/08/23,False
,11/08/23,False
,12/08/23,False
,13/08/23,True
,14/08/23,False
,15/08/23,False
,16/08/23,False
,17/08/23,True
,18/08/23,False
,19/08/23,False
,20/08/23,True
,21/08/23,False
,22/08/23,False
,23/08/23,False
,24/08/23,False
,25/08/23,False
,26/08/23,False
,27/08/23,True
,28/08/23,False
,29/08/23,False
,30/08/23,False
,31/08/23,False
,01/09/23,False
,02/09/23,False
,03/09/23,True
,04/09/23,False
,05/09/23,False
,06/09/23,False
,07/09/23,False
,08/09/23,False
,09/09/23,False
,10/09/23,True
,11/09/23,False
,12/09/23,False
,13/09/23,False
,14/09/23,False
,15/09/23,False
,16/09/23,False
,17/09/23,True
,18/09/23,False
,19/09/23,False
,20/09/23,False
,21/09/23,False
,22/09/23,False
,23/09/23,False
,24/09/23,True
,25/09/23,False
,26/09/23,False
,27/09/23,False
,28/09/23,True
,29/09/23,False
,30/09/23,False
,01/10/23,True
,02/10/23,False
,03/10/23,False
,04/10/23,False
,05/10/23,False
,06/10/23,False
,07/10/23,False
,08/10/23,True
,09/10/23,False
,10/10/23,False
,11/10/23,False
,12/10/23,False
,13/10/23,False
,14/10/23,False
,15/10/23,True
,16/10/23,False
,17/10/23,False
,18/10/23,False
,19/10/23,False
,20/10/23,False
,21/10/23,False
,22/10/23,True
,23/10/23,False
,24/10/23,False
,25/10/23,False
,26/10/23,False
,27/10/23,False
,28/10/23,False
,29/10/23,True
,30/10/23,False
,31/10/23,False
,01/11/23,False
,02/11/23,False
,03/11/23,False
,04/11/23,False
,05/11/23,True
,06/11/23,False
,07/11/23,False
,08/11/23,False
,09/11/23,False
,10/11/23,False
,11/11/23,False
,12/11/23,True
,13/11/23,False
,14/11/23,False
,15/11/23,False
,16/11/23,False
,17/11/23,False
,18/11/23,False
,19/11/23,True
,20/11/23,False
,21/11/23,False
,22/11/23,False
,23/11/23,False
,24/11/23,False
,25/11/23,False
,26/11/23,True
,27/11/23,False
,28/11/23,False
,29/11/23,False
,30/11/23,False
,01/12/23,False
,02/12/23,False
,03/12/23,True
,04/12/23,False
,05/12/23,False
,06/12/23,False
,07/12/23,False
,08/12/23,False
,09/12/23,False
,10/12/23,True
,11/12/23,False
,12/12/23,False
,13/12/23,False
,14/12/23,False
,15/12/23,False
,16/12/23,False
,17/12/23,True
,18/12/23,False
,19/12/23,False
,20/12/23,False
,21/12/23,False
,22/12/23,False
,23/12/23,False
,24/12/23,True
,25/12/23,True
,26/12/23,True
,27/12/23,False
,28/12/23,False
,29/12/23,False
,30/12/23,False
,31/12/23,True